Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,9677.0
Cardio Cocktails,8027.5
No Mission Too Sweaty,7530.5
"Cary On, The A Team!",6928.0
Cary On IDeaS,6505.5
Outliers,6409.0
Yield Me If You Can,6096.0
Catch us if you can,6070.5
Ctrl + Alt + Elite,5566.96
Team Ireland,5530.5
NE Marketing,4814.0
Channel Chasers,4784.0
No Pain No Champagne,4318.0
404 Fit Not Found,3830.5
Team C,3752.0
NE FS CA,3411.0
Commercial Sales,2297.0
Team Oslo,1842.5
