Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,10895.0
Cardio Cocktails,8979.0
No Mission Too Sweaty,8176.5
"Cary On, The A Team!",8068.0
Cary On IDeaS,7675.5
Yield Me If You Can,7128.5
Outliers,7048.5
Ctrl + Alt + Elite,6706.46
Team Ireland,6440.0
Catch us if you can,6372.0
No Pain No Champagne,5654.0
NE Marketing,5284.0
Channel Chasers,4884.0
NE FS CA,4664.0
404 Fit Not Found,4520.0
Team C,4231.0
Commercial Sales,2973.0
Team Oslo,1842.5
