Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,7261.0
Cardio Cocktails,6649.5
No Mission Too Sweaty,6488.0
Cary On IDeaS,5689.5
"Cary On, The A Team!",5577.0
Outliers,5518.0
Yield Me If You Can,5361.0
Team Ireland,4945.0
Catch us if you can,4911.5
Ctrl + Alt + Elite,4328.96
NE Marketing,4149.5
No Pain No Champagne,3687.0
Channel Chasers,3525.0
Team C,3442.0
404 Fit Not Found,3255.0
NE FS CA,3210.5
Commercial Sales,1768.0
Team Oslo,1702.5
