Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,6291.0
No Mission Too Sweaty,5418.0
Cardio Cocktails,5171.0
"Cary On, The A Team!",4592.0
Outliers,4525.0
Yield Me If You Can,4398.0
Cary On IDeaS,4357.0
Catch us if you can,4099.0
Team Ireland,3910.0
Ctrl + Alt + Elite,3600.46
No Pain No Champagne,3237.0
Team C,3177.0
NE Marketing,2988.0
404 Fit Not Found,2835.0
Channel Chasers,2746.0
NE FS CA,2218.0
Commercial Sales,1615.0
Team Oslo,1394.0
