Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,12176.5
No Mission Too Sweaty,10855.0
Cardio Cocktails,10508.5
Yield Me If You Can,10098.0
"Cary On, The A Team!",10060.0
Outliers,9129.5
Cary On IDeaS,8986.5
Catch us if you can,8647.0
Ctrl + Alt + Elite,8301.46
Team Ireland,7546.5
No Pain No Champagne,7225.0
404 Fit Not Found,6747.5
NE Marketing,6509.0
Channel Chasers,6141.5
Team C,6027.5
NE FS CA,5673.0
Commercial Sales,3793.0
Team Oslo,2171.5
