Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,459
IDeaS_2,285
"Cary On, The A Team!",269
Outliers,188
Cardio Cocktails,642
Team F,191
Team B,267
Yield Me If You Can,244
Team C,207
Team E,223
Channel Chasers,50
Ctrl + Alt + Elite,220
NE Marketing,253
Team Ireland,147
Catch us if you can,431
Commercial Sales,30
NE FS CA,168
Team Oslo,0
