Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,3242.0
IDeaS_2,2416.0
"Cary On, The A Team!",2367.0
Outliers,2343.0
Cardio Cocktails,2311.0
404 Fit Not Found,2231.0
Team B,2084.0
Yield Me If You Can,2072.0
Team C,1998.0
Team E,1856.0
Channel Chasers,1822.0
Ctrl + Alt + Elite,1793.46
NE Marketing,1738.0
Team Ireland,1712.0
Catch us if you can,1429.0
Commercial Sales,1351.0
NE FS CA,1300.0
Team Oslo,585.0
