Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,4646.0
Cardio Cocktails,3862.0
Yield Me If You Can,3520.0
Outliers,3152.0
Cary On IDeaS,3111.0
"Cary On, The A Team!",2743.0
Catch us if you can,2673.0
Ctrl + Alt + Elite,2589.46
404 Fit Not Found,2575.0
Team B,2496.0
Team E,2214.0
NE Marketing,1965.0
NE FS CA,1941.0
Team C,1832.0
Team Ireland,1465.0
Channel Chasers,1432.0
Commercial Sales,1017.0
Team Oslo,559.0
