Team_Name,Total_Capped_Duration
Platfrom Consuling Team!,16020.0
Cardio Cocktails,13003.0
No Mission Too Sweaty,12430.5
Yield Me If You Can,12159.0
"Cary On, The A Team!",11905.0
Cary On IDeaS,11591.5
Ctrl + Alt + Elite,10968.46
Outliers,10758.63
Channel Chasers,10629.5
Catch us if you can,10088.5
Team Ireland,10063.5
NE Marketing,8332.0
NE FS CA,8281.5
No Pain No Champagne,8213.0
404 Fit Not Found,8103.5
Team Oslo,7869.0
Team C,6522.5
Commercial Sales,5013.0
